1	PHL	MDW	BWI	0.0	03/01	05/01
1	PHL	MDW	BNA	0.0	03/01	05/01
1	PHL	MDW	BDL	0.0	03/01	05/01
1	PHL	MCO	STL	0.0	03/01	05/01
1	PHL	MCO	RDU	0.0	03/01	05/01
1	PHL	MCO	PIT	0.0	03/01	05/01
1	PHL	MCO	PHL	0.0	03/01	05/01
1	PHL	MCO	ORF	0.0	03/01	05/01
1	PHL	MCO	MSY	0.0	03/01	05/01
1	PHL	MCO	MHT	0.0	03/01	05/01
1	PHL	MCO	JAN	0.0	03/01	05/01
1	PHL	MCO	CMH	0.0	03/01	05/01
1	PHL	MCO	BWI	0.0	03/01	05/01
1	PHL	MCO	BNA	0.0	03/01	05/01
1	PHL	CMH	TPA	0.0	03/01	05/01
1	PHL	CMH	PHL	0.0	03/01	05/01
1	PHL	CMH	MDW	0.0	03/01	05/01
1	PHL	CMH	MCO	0.0	03/01	05/01
1	PHL	CMH	LGA	0.0	03/01	05/01
1	PHL	CMH	LAS	0.0	03/01	05/01
1	PHL	CMH	BWI	0.0	03/01	05/01
1	PDX	MSP	SEA	0.0	03/01	05/01
1	PDX	MSP	ORD	0.0	03/01	05/01
1	PDX	MSP	MKE	0.0	03/01	05/01
1	PDX	MSP	LGA	0.0	03/01	05/01
1	PDX	MSP	EWR	0.0	03/01	05/01
1	PDX	MSP	DCA	0.0	03/01	05/01
1	ORD	MSP	RSW	0.0	02/01	04/01
1	ORD	MSP	PHX	0.0	02/01	04/01
1	ORD	MSP	ORD	0.0	02/01	04/01
1	ORD	MSP	MKE	0.0	02/01	04/01
1	ORD	MSP	EWR	0.0	02/01	04/01
1	ORD	MSP	DLH	0.0	02/01	04/01
1	ORD	MSP	DCA	0.0	02/01	04/01
1	ONT	PHX	ONT	0.0	03/01	05/01
1	ONT	PHX	MSP	0.0	03/01	05/01
1	ONT	PHX	MEM	0.0	03/01	05/01
1	ONT	PHX	LAX	0.0	03/01	05/01
1	ONT	PHX	LAS	0.0	03/01	05/01
1	ONT	PHX	DTW	0.0	03/01	05/01
